,HIP,Vmag,RA,DE,Plx,pmRA,pmDE,e_Plx,B-V
122,3724,11.73,11.951857,6.03199,20.55,54.89,-33.7,3.61,1.4
123,3930,10.15,12.613796,59.502731000000004,21.34,161.26,-161.14,1.66,0.909
124,4010,9.71,12.861334,-43.590657,20.84,63.78,25.83,1.61,0.857
125,4041,8.45,12.956579,78.625775,24.87,158.6,-5.26,0.82,0.78
126,4120,8.5,13.195597,9.803581,23.39,-32.77,-49.48,2.04,0.4
127,4127,6.76,13.215928,40.245442,23.82,-91.08,52.37,0.87,0.595
128,4194,8.92,13.395191,-22.203333999999998,21.15,212.68,-99.55,1.37,0.722
129,4205,7.19,13.418159,43.363704999999996,22.41,282.48,-129.39,1.63,0.622
130,4291,6.68,13.747963,-74.302634,20.41,125.74,114.51,0.58,0.987
131,4310,7.92,13.799435,-16.971080999999998,20.24,-130.36,-196.7,1.19,0.991
132,4312,10.62,13.800464999999999,0.932958,23.01,-228.8,-127.3,1.81,1.15
133,4393,7.53,14.071556,52.491232999999994,24.39,202.53,1.74,0.87,0.667
134,4394,10.1,14.080132999999998,-65.44535,20.42,257.74,-223.46,1.21,0.9420000000000001
135,4395,7.17,14.086785999999998,-63.958787,22.34,316.15,165.78,0.65,0.8079999999999999
136,4436,3.86,14.187907000000001,38.499255,23.93,152.78,36.82,1.22,0.13
137,4448,8.99,14.230758999999999,-51.875544,22.95,97.9,11.31,2.16,1.02
138,4478,9.45,14.334854,-1.815564,20.88,-249.29,-182.75,1.26,0.8540000000000001
139,4482,10.0,14.359748000000002,-39.858509000000005,21.29,187.1,-37.23,1.74,0.987
140,4617,7.86,14.810534,83.102924,21.38,82.03,-96.02,0.71,0.557
141,4643,10.56,14.902861999999999,-13.978964000000001,20.85,210.21,22.59,2.04,1.0859999999999999
142,4699,10.06,15.094160999999998,-13.599201,23.96,-103.65,-92.29,1.65,1.047
143,4727,9.56,15.172868,14.840681,20.54,224.1,-30.9,1.42,0.877
144,4747,7.34,15.257317,-4.648264,24.76,0.13,-56.2,0.86,0.547
145,4772,6.91,15.328935000000001,-60.860386,22.23,73.14,98.11,0.64,0.65
146,4868,6.88,15.648212,27.747932000000002,22.39,76.54,8.14,0.87,0.44799999999999995
147,4874,9.84,15.665018,-25.308342,22.04,281.85,-40.64,1.68,0.919
148,4882,7.7,15.683459,-47.287258,20.35,-35.05,-132.5,0.78,0.591
149,4900,10.81,15.718225,47.047610999999996,24.14,396.35,-177.02,2.69,1.47
150,4966,8.44,15.914660999999999,82.100898,22.56,-174.8,-62.41,0.73,0.6
151,5034,6.2,16.114874,29.659098999999998,23.82,85.1,-120.26,0.87,0.44299999999999995
